Id,Motor_Name,Specification
1,Yamaha Y15ZR (2020),Yamaha Y15ZR (2020) Yamaha SOHC Liquid Cooled 150 4.2 Electric Backbone 11.3 Manual Gearing
2,Yamaha Y15ZR (2019),Yamaha Y15ZR(2019) Yamaha DOHC Liquid Cooled 150 4.2 Electric Backbone 11.3 Semi-automatic
3,Lagenda 115z,Lagenda 115z Yamaha SOHC Air-Cooled 114 4.05 Electric and Kick Backbone 7.4 Semi-automatic
4,Yamaha 125ZR,Yamaha 125ZR Yamaha SOHC Air-Cooled 124 5.5 Kick Backbone 17 Semi-automatic Manual Gearing
5,Yamaha Y16ZR,Yamaha Y16ZR Yamaha SOHC Liquid Cooled 155 5.4 Electric Backbone 13.2 Manual Gearing
6,Yamaha 135 LC,Yamaha 135 LC Yamaha SOHC Liquid Cooled 134 4.0 Electric and Kick Backbone 8.9 Semi-automatic
7,RS-X,RS-X Honda DOHC Liquid Cooled 125 5.4 Electric Double frame 11.8 Manual Gearing
8,RS150R,RS150R Honda DOHC Liquid Cooled 149 4.5 Electric Double frame 11.5 Manual Gearing
9,Dash 125,Dash 125 Honda SOHC Air-Cooled 125 4.0 Electric and Kick Backbone 7.3 Semi-automatic
10,Wave 125i,Wave 125i Honda SOHC Air-Cooled 125 5.4 Electric and Kick Backbone 6.8 Semi-automatic
11,Wave Alpha,Wave Alpha Honda SOHC Air-Cooled 109 3.7 Electric and Kick Backbone 6.14 Semi-automatic
12,EX5,EX5 Honda SOHC Air-Cooled 109 4.3 Electric and Kick Backbone 6.37 Semi-automatic
13,KRISS 110 Disc Brake,KRISS 110 Disc Brake Modenas SOHC Air-Cooled 108 4.2 Electric and Kick Backbone 6.3 Semi-automatic
14,KRISS 110,Kriss 110 Modenas SOHC Air-Cooled 108 4.2 Electric and Kick Backbone 6.3 Semi-automativ
15,KRISS MR2,KRISS MR2 Modenas SOHC Air-Cooled 109 4.5 Electric and Kick Backbone 6.3 Semi-automatic
16,CT115S,CT115S Modenas SOHC Air-Cooled 114 4.8 Electric and Kick Backbone 8.8 Semi-automatic
17,Modenas Dinamik,Modenas Dinamik Modenas SOHC Air-Cooled 118 4.6 Kick Backbone 8.9 Manual Gearing
18,Modenas GT128 ,Modenas GT128 Modenas SOHC Air-Cooled 130 4.2 Electric and Kick Bacbone 9.6 Manual Gearing
